,AAE_avg,AAE_std,AAE_min,AAE_max,AAE_gen,AAE_nevals,size_avg,size_std,size_min,size_max,size_gen,size_nevals
1757,37.60419547998888,55.43286435827184,26.393103792470814,522.3770661327422,1758.0,147.0,281.0466666666667,56.67254910644325,153.0,374.0,1758.0,147.0
1758,1428.0615770526774,12110.287037167136,26.393103792470814,118566.45865578332,1759.0,147.0,284.3466666666667,58.0859118509433,59.0,353.0,1759.0,147.0
1759,838.094172981238,9560.75555405148,26.393103792470814,117500.71029330713,1760.0,147.0,281.4866666666667,61.07751759490194,97.0,442.0,1760.0,147.0
1760,1790.2885059591028,15396.282485324984,26.393103792470814,158489.64742971424,1761.0,147.0,292.5933333333333,56.84025529694797,5.0,443.0,1761.0,147.0
1761,3097.9633028071285,19038.78576884154,26.393103792470814,157738.7056189966,1762.0,147.0,300.86,38.91958033346882,197.0,385.0,1762.0,147.0
1762,392008.5296359686,4613671.442151077,26.393103792470814,56689433.62610571,1763.0,147.0,299.20666666666665,38.35488611492529,142.0,365.0,1763.0,147.0
1763,1703.7911574325894,14824.929437401937,26.393103792470814,157818.6351447017,1764.0,147.0,291.68666666666667,43.28389025440707,121.0,356.0,1764.0,147.0
1764,2465.179456036361,17191.349625134262,26.393103792470814,152325.90413572316,1765.0,147.0,285.68666666666667,52.10337630348174,88.0,370.0,1765.0,147.0
1765,2211.3075258639665,15314.921299390799,26.393103792470814,119941.58767393604,1766.0,147.0,285.6933333333333,49.30651703600876,100.0,364.0,1766.0,147.0
1766,388715.2723078043,4725414.304705181,26.393103792470814,58069517.80843116,1767.0,147.0,279.17333333333335,47.047599537300755,170.0,353.0,1767.0,147.0
1767,34.308852612643136,40.12527418530145,26.393103792470814,522.3192598978217,1768.0,147.0,278.82,50.15776044973832,48.0,342.0,1768.0,147.0
1768,2044.5207508734063,14209.39572714898,26.393103792470814,119716.90818673134,1769.0,147.0,271.92,54.74212515665305,57.0,342.0,1769.0,147.0
1769,1069.3047245511107,12555.09990492836,26.393103792470814,154321.82558204886,1770.0,147.0,270.02666666666664,62.69151422286397,11.0,351.0,1770.0,147.0
1770,37.283022734422076,46.95468406337713,26.393103792470814,448.6463426912279,1771.0,147.0,271.8466666666667,62.67245398808705,3.0,341.0,1771.0,147.0
1771,1200.5066572519797,10040.208151792558,26.393103792470814,90788.73642939432,1772.0,147.0,287.28,54.32938063331847,118.0,358.0,1772.0,147.0
1772,1442.3742563787357,12225.438810875436,26.393103792470814,118167.97363195721,1773.0,147.0,295.9266666666667,45.72528063215019,134.0,422.0,1773.0,147.0
1773,36.359718270386686,38.68511635363242,26.393103792470814,389.28801882387086,1774.0,147.0,290.43333333333334,52.61361251826587,6.0,387.0,1774.0,147.0
1774,3715.5134662899404,20459.069931818034,26.393103792470814,162081.0441735644,1775.0,147.0,294.82,58.93036229313375,5.0,401.0,1775.0,147.0
1775,1851.2808602413659,12986.02659095006,26.393103792470814,114305.60325078206,1776.0,147.0,303.02666666666664,57.009700539079795,21.0,475.0,1776.0,147.0
1776,3289.648784927925,19953.014234672723,26.393103792470814,154804.98518548402,1777.0,147.0,312.5933333333333,49.489944657700136,98.0,399.0,1777.0,147.0
1777,6004.871445082242,25946.147949747083,26.393103792470814,157486.30968171588,1778.0,147.0,308.5733333333333,50.07199439029988,104.0,382.0,1778.0,147.0
1778,3095.746257767215,18891.655161897237,26.393103792470814,154199.82919879002,1779.0,147.0,316.18666666666667,32.21808739754046,203.0,385.0,1779.0,147.0
1779,1417.7352974446278,11969.505811809375,26.393103792470814,115183.57725647563,1780.0,147.0,307.3066666666667,41.094029844843504,103.0,381.0,1780.0,147.0
1780,2193.921127596832,15200.012730350312,26.393103792470814,116640.98197850843,1781.0,147.0,306.00666666666666,45.86523689632003,19.0,373.0,1781.0,147.0
1781,34.402634057299274,37.18747777915534,26.393103792470814,482.1543505277705,1782.0,147.0,298.52,43.50796402192746,194.0,363.0,1782.0,147.0
