,AAE_avg,AAE_std,AAE_min,AAE_max,AAE_gen,AAE_nevals,size_avg,size_std,size_min,size_max,size_gen,size_nevals,height_avg,height_std,height_min,height_max,height_gen,height_nevals
1125,3.3771879364568806e+300,inf,24.25424266381636,1.3509163565412212e+302,1126.0,197.0,183.69,16.816477038904434,119.0,201.0,1126.0,197.0,10.0,0.0,10.0,10.0,1126.0,197.0
1126,1.350813401645049e+300,inf,24.25424266381636,1.3509163565412212e+302,1127.0,197.0,182.22,25.497482228643673,3.0,207.0,1127.0,197.0,9.915,0.8472160291212626,1.0,10.0,1127.0,197.0
1127,2.0263745348118316e+300,inf,24.25424266381636,1.3509163565412212e+302,1128.0,197.0,181.305,24.544897127509007,6.0,211.0,1128.0,197.0,9.94,0.6053098380168622,3.0,10.0,1128.0,197.0
1128,2.0263745348118316e+300,inf,24.25424266381636,1.3509163565412212e+302,1129.0,197.0,184.16,18.4933609708998,63.0,221.0,1129.0,197.0,10.0,0.0,10.0,10.0,1129.0,197.0
1129,2.939015720739029e+302,inf,24.25424266381636,5.851013114347234e+304,1130.0,197.0,183.05,18.60127683789476,75.0,197.0,1130.0,197.0,10.0,0.0,10.0,10.0,1130.0,197.0
1130,2.701626803290098e+300,inf,24.25424266381636,1.3509163565412212e+302,1131.0,197.0,183.845,22.409841030225984,4.0,199.0,1131.0,197.0,9.96,0.5642694391866355,2.0,10.0,1131.0,197.0
1131,1.350813401645049e+300,inf,24.25424266381636,1.3509163565412212e+302,1132.0,197.0,184.64,21.52859493789597,4.0,222.0,1132.0,197.0,9.94,0.6296030495478878,2.0,10.0,1132.0,197.0
1132,4.420090788870639e+298,inf,24.25424266381636,8.840181577741278e+300,1133.0,197.0,187.34,12.77710452332609,79.0,208.0,1133.0,197.0,10.0,0.0,10.0,10.0,1133.0,197.0
1133,2.9862977932179718e+302,inf,24.25424266381636,5.851013114347234e+304,1134.0,197.0,181.22,28.62292088519269,5.0,201.0,1134.0,197.0,9.91,0.7495998932764064,2.0,10.0,1134.0,197.0
1134,1.350813401645049e+300,inf,24.25424266381636,1.3509163565412212e+302,1135.0,197.0,184.3,20.67268729507608,3.0,204.0,1135.0,197.0,9.955,0.6348031190849648,1.0,10.0,1135.0,197.0
