numberIndividuals;cxpb;mtpb;numberGenerations;accelerator;bestEq;bestMetric;
150;0.75;0.25;2000;2;add(speed_1d_1, sub(p_density_1d_1, p_density_carrington_1));(22.278264317823663,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(p_density_1d_1, p_density_carrington_1));(22.278264317823663,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(p_density_1d_1, p_density_carrington_1));(22.278264317823663,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(p_density_1d_1, p_density_carrington_1));(22.278264317823663,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(p_density_1d_1, p_density_carrington_1));(22.278264317823663,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(p_density_1d_1, p_density_carrington_1));(22.278264317823663,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(p_density_1d_1, p_density_carrington_1));(22.278264317823663,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(p_density_1d_1, p_density_carrington_1));(22.278264317823663,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(p_density_1d_1, p_density_carrington_1));(22.278264317823663,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(p_density_1d_1, p_density_carrington_1));(22.278264317823663,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(p_density_1d_1, p_density_carrington_1));(22.278264317823663,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(p_density_1d_1, p_density_carrington_1));(22.278264317823663,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(p_density_1d_1, p_density_carrington_1));(22.278264317823663,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(p_density_1d_1, p_density_carrington_1));(22.278264317823663,);
150;0.75;0.25;2000;2;add(speed_1d_1, sub(p_density_1d_1, p_density_carrington_1));(22.278264317823663,);
150;0.75;0.25;2000;2;add(add(sub(atan(sub(atan(mul(Bz_carrington_3, pow(Bz_carrington_3, Bx_carrington_3))), p_density_carrington_1)), Bt_1d_3), speed_1d_1), sub(p_density_1d_1, p_density_carrington_1));(21.973191625152943,);
